Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,17-09-2014,457.334015,465.864014,468.174011,452.421997
BTC,18-09-2014,424.440002,456.859985,456.859985,413.104004
BTC,19-09-2014,394.79599,424.102997,427.834991,384.532013
BTC,20-09-2014,408.903992,394.673004,423.29599,389.882996
BTC,21-09-2014,398.821014,408.084991,412.425995,393.181
BTC,22-09-2014,402.152008,399.100006,406.915985,397.130005
BTC,23-09-2014,435.790985,402.09201,441.557007,396.196991
BTC,24-09-2014,423.204987,435.751007,436.112,421.131989
BTC,25-09-2014,411.574005,423.156006,423.519989,409.467987
BTC,26-09-2014,404.424988,411.428986,414.937988,400.009003
BTC,27-09-2014,399.519989,403.556,406.622986,397.372009
BTC,28-09-2014,377.181,399.471008,401.016998,374.332001
BTC,29-09-2014,375.46701,376.928009,385.210999,372.23999
BTC,30-09-2014,386.944,376.088013,390.97699,373.442993
BTC,01-10-2014,383.61499,387.427002,391.378998,380.779999
BTC,02-10-2014,375.071991,383.988007,385.497009,372.946014
BTC,03-10-2014,359.511993,375.181,377.695007,357.859009
BTC,04-10-2014,328.865997,359.891998,364.487,325.885986
BTC,05-10-2014,320.51001,328.915985,341.800995,289.29599
BTC,06-10-2014,330.07901,320.389008,345.134003,302.559998
BTC,07-10-2014,336.187012,330.584015,339.247009,320.481995
BTC,08-10-2014,352.940002,336.115997,354.364014,327.187988
BTC,09-10-2014,365.026001,352.747986,382.726013,347.687012
BTC,10-10-2014,361.562012,364.687012,375.066986,352.963013
BTC,11-10-2014,362.299011,361.362,367.19101,355.950989
BTC,12-10-2014,378.549011,362.605988,379.433014,356.144012
BTC,13-10-2014,390.414001,377.92099,397.226013,368.897003
BTC,14-10-2014,400.869995,391.691986,411.697998,391.324005
BTC,15-10-2014,394.77301,400.954987,402.22699,388.765991
BTC,16-10-2014,382.556,394.518005,398.807007,373.070007
BTC,17-10-2014,383.757996,382.756012,385.477997,375.389008
BTC,18-10-2014,391.441986,383.976013,395.15799,378.971008
BTC,19-10-2014,389.54599,391.253998,393.938995,386.457001
BTC,20-10-2014,382.845001,389.230988,390.084015,378.252014
BTC,21-10-2014,386.475006,382.42099,392.645996,380.834015
BTC,22-10-2014,383.15799,386.118011,388.575989,382.248993
BTC,23-10-2014,358.416992,382.962006,385.048004,356.446991
BTC,24-10-2014,358.345001,358.591003,364.345001,353.304993
BTC,25-10-2014,347.270996,358.610992,359.860992,342.877014
BTC,26-10-2014,354.70401,347.487,359.221008,343.931
BTC,27-10-2014,352.989014,354.777008,358.631989,349.80899
BTC,28-10-2014,357.618011,353.214996,359.984009,352.678986
BTC,29-10-2014,335.591003,357.088989,357.833008,335.342987
BTC,30-10-2014,345.304993,335.709015,350.912994,335.071991
BTC,31-10-2014,338.321014,345.009003,348.045013,337.141998
BTC,01-11-2014,325.748993,338.649994,340.528992,321.054993
BTC,02-11-2014,325.891998,326.075012,329.049988,320.626007
BTC,03-11-2014,327.553986,325.569,334.002014,325.480988
BTC,04-11-2014,330.492004,327.161011,331.766998,325.076996
BTC,05-11-2014,339.485992,330.683014,343.368988,330.683014
